ID,名稱,依據照片,限制
01,開蓋鑄造外框與底板,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
02,右側掃描區縱向隔牆,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
03,後方電子區隔牆,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
04,電子區分隔肋,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
05,雙開窗上方金屬橋板,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
06,帶圓孔的橫向黑色支架,20260910_153102.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
07,左側圓筒座,20260910_153102.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
08,圓筒端部綠色環,20260910_153102.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
09,左側黃銅支柱,20260910_153102.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
10,轉動機構底座,20260910_153102.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
11,可見金屬轉輪（功能待核對）,20260910_153102.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
12,轉輪中央軸,20260910_153102.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
13,前方水平傳動軸,20260910_153102.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
14,可見齒輪外輪廓,20260910_153102.jpg,齒輪位置有照片依據；齒數與齒形未量測，僅供外形檢查。
15,三面黑色遮光罩,20260910_153102.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
16,右側機構安裝底板,20260910_153051.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
17,掃描區圓柱機構 1,20260910_153051.jpg,依照片可見圓柱與配置重建；振鏡軸向與隱藏鏡面待核對。
18,掃描區黑色固定座 1,20260910_153051.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
19,掃描區圓柱機構 2,20260910_153051.jpg,依照片可見圓柱與配置重建；振鏡軸向與隱藏鏡面待核對。
20,掃描區黑色固定座 2,20260910_153051.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
21,標示 FV-FCBGR 的滑座外形,20260910_153051.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
22,滑座側向調整桿,20260910_153051.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
23,調整桿方形托座,20260910_153051.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
24,前側銀色水平筒件,20260910_153051.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
25,前側帶孔片架,20260910_153051.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
26,側向連接鏡筒的可見段,20260910_153030.jpg,照片中可見段；端部和內部鏡片無資料，留空。
27,後方直立電路板外形,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
28,中央金屬盒可見外形,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
29,左後方電路板可見段,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
30,照片可見配線 1,20260910_153030.jpg,線束走向按照片近似；未重建被遮蔽的接線。
31,照片可見配線 2,20260910_153030.jpg,線束走向按照片近似；未重建被遮蔽的接線。
32,照片可見配線 3,20260910_153030.jpg,線束走向按照片近似；未重建被遮蔽的接線。
33,照片可見配線 4,20260910_153030.jpg,線束走向按照片近似；未重建被遮蔽的接線。
34,照片可見配線 5,20260910_153030.jpg,線束走向按照片近似；未重建被遮蔽的接線。
35,可見固定螺絲,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
36,可見固定螺絲,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
37,可見固定螺絲,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
38,可見固定螺絲,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
39,可見固定螺絲,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
40,可見固定螺絲,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
41,可見固定螺絲,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
42,可見固定螺絲,20260910_153030.jpg,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
