ID,名稱,依據照片,限制
01,外框與底板｜比例依新俯視照,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
02,左側狹長區內隔牆,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
03,左側狹長區黑色板件,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
04,中央與右側縱向隔牆,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
05,中央電子區橫向隔牆,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
06,兩電子開窗間的隔肋,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
07,雙開窗上方橋板,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
08,中央左側階梯狀鑄造支座,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
09,左圓筒可見段,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
10,左圓筒後緣,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
11,支座前方圓筒可見段,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
12,左側黃銅桿,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
13,中央前後向帶圓孔長板,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
14,中央長板左側折邊,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
15,中央長板右側折邊,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
16,立式轉輪金屬座,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
17,立式轉輪｜軸向左右,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,輪盤軸向依新俯視與舊斜拍校正；輪緣細節未量測。
18,轉輪側向黃銅轴,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
19,右下前後向黃銅軸套,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
20,側向傘齒輪外形包絡,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見齒輪包絡；齒數、齒形未知，未製作齒。
21,前後向傘齒輪外形包絡,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見齒輪包絡；齒數、齒形未知，未製作齒。
22,中央右上銀色托板,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
23,中央右上圓筒機構,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
24,中央右上直立薄板,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
25,中央橫向金屬連桿,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
26,右上掃描區金屬底板,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
27,右上前後向圓柱,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
28,右上橫向圓柱,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
29,右上前後向圓柱夹座,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
30,右上橫向圓柱夹座,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
31,右上斜向固定臂,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
32,右中滑座底板,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
33,右中滑座導軌,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
34,右中滑座導軌,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
35,右中開口框架,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
36,右中斜向片架,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
37,右中標籤承載片,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
38,右中水平調整軸,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
39,右中調整軸端座,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
40,右中圓形旋鈕,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
41,右下銀色前後向筒件,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
