name,collection,evidence,certainty
IX01_Foot_0,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IX01_Foot_1,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IX01_Foot_2,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IX01_Foot_3,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IX02_Lower_body,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IX03_Rear_base_crossbar,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,Catalog reference 290 mm transverse envelope; specimen unmeasured.
IX04_Rear_lower_support,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IX05_Front_binocular_support,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IX06_Left_upper_bay_rail,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IX07_Right_upper_bay_rail,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IX08_Stage_rear_support,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IX09_Right_access_panel,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IX10_Front_control_panel,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
ST01_Manual_stage_main,02_IX71_Stage,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
ST02_Stage_insert_ring,02_IX71_Stage,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
ST03_X_translation_rail,02_IX71_Stage,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
ST04_Y_translation_rail,02_IX71_Stage,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
ST05_Stage_control_bracket,02_IX71_Stage,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
ST06_Stage_control_shaft,02_IX71_Stage,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
ST07_Stage_coaxial_grip,02_IX71_Stage,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
ST08_Stage_lower_grip,02_IX71_Stage,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
NP01_Filter_turret_lower,03_IX71_Nosepiece,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
NP02_Filter_turret_rim,03_IX71_Nosepiece,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
NP03_Nosepiece_disk,03_IX71_Nosepiece,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
NP04_Active_objective_mount,03_IX71_Nosepiece,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
NP05_Active_objective_body,03_IX71_Nosepiece,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
NP06_Active_objective_tip,03_IX71_Nosepiece,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
NP07_Empty_socket_1,03_IX71_Nosepiece,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
NP07_Empty_socket_2,03_IX71_Nosepiece,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
NP07_Empty_socket_3,03_IX71_Nosepiece,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
NP07_Empty_socket_4,03_IX71_Nosepiece,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
NP07_Empty_socket_5,03_IX71_Nosepiece,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
NP08_Filter_slider,03_IX71_Nosepiece,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
BI01_Observation_tube_adapter,04_IX71_Binocular,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
BI02_Prism_body_0,04_IX71_Binocular,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
BI03_Eyepiece_barrel_0,04_IX71_Binocular,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
BI04_Eyepiece_rim_0,04_IX71_Binocular,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
BI05_Eyepiece_glass_0,04_IX71_Binocular,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
BI02_Prism_body_1,04_IX71_Binocular,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
BI03_Eyepiece_barrel_1,04_IX71_Binocular,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
BI04_Eyepiece_rim_1,04_IX71_Binocular,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
BI05_Eyepiece_glass_1,04_IX71_Binocular,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
BI06_Interpupillary_bridge,04_IX71_Binocular,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
BI07_Head_riser,04_IX71_Binocular,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL01_Pillar_lower,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL02_Pillar_upper,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL03_Condenser_height_rail,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL04_Condenser_carriage,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL05_Condenser_arm,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL06_Condenser_body,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL07_Condenser_turret,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL08_Condenser_lower_lens,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL09_Condenser_open_top,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL10_Condenser_side_knob,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL11_Centering_screw_L,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL12_Centering_screw_R,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL13_Top_forward_arm,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL14_Fiber_illumination_head,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL15_Filter_slider,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL16_Filter_handle,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
